Security Id,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Business_Summary,Market_Cap,Exchange
20MICRONS,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals,"20 Microns Limited manufactures and markets micronized industrial minerals and specialty chemicals primarily in India and internationally. The company offers industrial minerals, such as calcium carbonate, talc, hydrous and calcined kaolin, quartz, mica, ball clay, barytes, red oxide, feldspar, bentonite, dolomite, hydrated sodium calcium alumino silicate, perlite, ramming mass, silica, wollastonite, and graphite, as well as siliceous, bleaching, diatomaceous, and fuller earth. It also provides functional additives and specialty chemicals, including magnesium oxide, zinc oxide, titanium dioxide, semi reinforcing eco green filler, performance mineral additive, organo clays, mullite, desiccants, white pigment opacifiers, wax and wax additives, engineered kaolins, matting agents, fumed and precipitated silica, organoclays, rheology modifiers, flame retardants and smoke suppressant, dessicants, activators, buff TiO2, and synthetic barium sulfate and barytes; and 20MCC and MinFert products. It serves paints and coatings, casting oil and gas, petro chemicals, paper and packaging, friction materials, texture paints, oral care, ink and pigments, filtration, lubricants, plastics and polymer, welding electrodes, animal feed, brake composite, leather, textile, detergent and soaps, paper, rubber, cosmetics and personal care, ceramics, adhesive and sealant, battery and fuel cells, wire and cables, powder coating, constructions, building materials, oil-well drilling, agrochemicals, and foundry and other industries. 20 Microns Limited was incorporated in 1987 and is headquartered in Vadodara, India.",5522762240.0,NS
360ONE,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,"360 One Wam Limited, together with its subsidiaries, engages in the provision of wealth and asset management services primarily in India. It operates through Wealth Management and Asset Management segments. The Wealth Management segment distributes financial products; advisory, broking and research, portfolio management, corporate treasury solutions, estate planning and managing services for financial products. This segment is also involved in lending and investment activities. The Asset Management segment engages in the management of pooled funds under various products and structures, such as mutual funds, alternative asset funds, portfolio management and related activities, advisory and offshore spanning public and private equity, fixed income, and real assets. It serves professionals, corporate treasuries, family offices, entrepreneurs, and public figures. The company was formerly known as IIFL Wealth Management Limited and changed its name to 360 One Wam Limited in January 2023. 360 One Wam Limited was incorporated in 2008 and is based in Mumbai, India.",434287476736.0,NS
3MINDIA,Diversified,Diversified,Diversified,Diversified,"3M India Limited manufactures and trades in various products in India and internationally. It operates in four segments: Safety & Industrial; Transportation & Electronics; Health Care; and Consumer. The company offers vinyl, polyester, foil, and specialty industrial tapes and adhesives, such as masking tapes, and filament and packaging tapes; functional and decorative graphics; abrasion-resistant films; and other specialty materials. It also provides personal protection products, brand and asset protection solutions, border control products, passive fire protection products for industries and commercial establishments, track and trace products, and cleaning and hygiene products for the hospitality industry, as well as retrorelfective traffic signs, pavement markings, and vehicle registration products and services; films, inks, and digital signages; wall and glass cladding products; and projection systems, computer and ATM-screen privacy filters, and brightness enhancement films, as well as abrasives, automotive parts and hardware, building materials, cleaning supplies, coatings, polishes, electronic components, insulation, and lubricants. In addition, the company offers medical and surgical supplies; medical devices; skin and wound care, as well as infection prevention products and solutions; drug delivery systems; dental and orthodontic products; and food safety products. Further, it provides home and office tapes, and packaging protection platforms; note pads, dispensers, flagging solution, and labels; and stain protection products. The company sells its products under the Command, Littmann, Nexcare, Post-it, Scotch-Brite, and Scotch brands for the automotive, commercial solutions, consumer markets, design and construction, electronics, energy, health care, manufacturing, safety, and transportation industries. It also exports its products. The company was incorporated in 1987 and is based in Bengaluru, India. 3M India Limited is a subsidiary of 3M Company.",371465682944.0,NS
AADHARHFC,Financial Services,Financial Services,Finance,Housing Finance Company,"Aadhar Housing Finance Limited, a housing finance company, engages in the housing finance business in India. The company offers loans for residential property; plot purchase and construction; home improvement and extension loans; commercial property construction and acquisition; and loans against residential properties. It also provides loans against property; and other property related service. The company serves individuals, companies, corporations, societies, and association of persons. The company was formerly known as DHFL Vysya Housing Finance Limited and changed its name to Aadhar Housing Finance Limited in August 2017. The company was incorporated in 1990 and is based in Mumbai, India. Aadhar Housing Finance Limited is a subsidiary of Bcp Topco VII Pte. Ltd.",207909093376.0,NS
5PAISA,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,"5paisa Capital Limited provides a platform for trading in National Stock Exchange of India Limited, BSE Ltd, and MCX in India. The company offers financial services, including depository services; distributes mutual funds, bonds, and debentures; and equity and mutual fund research, and investment advisory services. It also provides stock broking, stock SIP and ENACH autopay, IPO access, commodities and currencies, mutual funds (direct), SIPs, robo-advisory, algo trading, learning platform and community, wealth management, US stocks, and screeners and portfolio analyzer; and smart trading tools, such as IntraEdge, FnO 360, QTV, Trade from Charts, Predefined Strategies and Straddle Builders, and Xstream API. The company offers its services through a web-based trading terminal, mobile application, a state of the art call, and trade unit. It serves retail investors, high-volume traders, and algo traders. The company was incorporated in 2007 and is based in Thane, India.",9292734464.0,NS
63MOONS,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,"63 moons technologies limited provides software solutions in India and internationally. It operates through STP Technologies/ Software Solutions and Others segments. It offers DOME, an online trading software; POWERARMS, an electronic trading, risk management, and clearing and settlement platform; FOVEA for risk management; TRADEDART, a web-based trading platform; MARKETXSTREAM for analytics and quantification; CNS, a clearing and settlement application; DMATS, a depository for multi asset transaction systems; and Risk Management system. It also provides cyber security solutions, including risk assessments penetration testing and incident response; and QILegal, an AI-powered legal tech solution. In addition, the company offers Druta, an online onboarding platform; Wave 2.0, a mobile trading app; aero, an investment portal; Diet, a trading application; Trader Workstation and Program Trading, which are trading platforms; Institutional, an execution solution; TechTrader, which automates trading; Protector pro, a post-trade risk management solution; Match for end-to-end post-trade requirements; e-Hastakshar, a digital document signing solution; Voice Logger for call management and recording; and VoiceCast for voice messaging. Further, it provides trading, procurement, process management, risk consultancy, shared business support, IT infrastructure sharing, NBFC, Internet telecommunication, training and certification, and franchise services. The company serves the banking, insurance, and capital market sectors. The company was formerly known as Financial Technologies (India) Limited and changed its name to 63 moons technologies limited in May 2016. 63 moons technologies limited was incorporated in 1988 and is based in Mumbai, India.",25741006848.0,NS
AARTIIND,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,"Aarti Industries Limited engages in the manufacture and sale of specialty chemicals in India and internationally. It offers di chloro benzene, nitro chloro and nitro benzene, nitro toluenes, sulphur, and other organic and inorganic products; chlorination, nitration, hydrogenation, ammonolysis, halex, dinitro chlorination, alkylation, hydrolysis, methoxylation, esterification, diazotization, sulphonation, condensation, n-alkylation, and oxidation. It also provides end use products, including dyes, basic pharma, pigments, agro chemicals, polymers, fertilizers, UV absorbers, plasticizers, specialty chemicals, flavour fragrance and food beverage products, and refinery and oil field chemicals, as well as intermediates. Aarti Industries Limited was incorporated in 1984 and is headquartered in Mumbai, India.",157204922368.0,NS
AARTIDRUGS,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,"Aarti Drugs Limited, through its subsidiaries, manufactures and markets active pharmaceutical ingredients (APIs), pharmaceutical intermediates, specialty chemicals, and formulations in India and internationally. The company offers aceclofenac, celecoxib, diclofenac sodium, diclodenac potassium, diclofenac diethylamine, diclofenac resinate, diclofenac epolamine, nimesulide, ciprofloxacin HCL, enrofloxacin base, gatifloxacin sesquihydrate, levofloxacin base, norfloxacin, ofloxacin, metronidazole, metronidazole benzoate, ornidazole, secnidazole, tinidazole, clopidogrel bisulphate, ticlopidine HCL, metformin HCL, pioglitazone HCL, teneligliptin, vildagliptin, fluconazole, ketoconazole, tolnaftate, zolpidem tartrate, niacin, raloxifene HCL, and acamprosate. It also provides benzene sulphonyl chloride, benzene sulphonic acid, methyl benzenesulfonate, sodium benzene sulfinate, para toluene sulphonyl chloride, methyl para toluenesulfonate, sodium para toluenesulfinate, para chlorobenzenesulfonyl chloride, formamide, calcium fluoride, potasium formate, benzenesulfonamide, ethyl p- toluenesulfonate, N,N',N'-tris-(4-toluene sulfonyl)-diethylenetriamine, ortho para toluene sulfonamides, ortho para toluene sulfonamides acid methyl ester, para chlorobenznesulfonamide, para toluenesulfonyl hydrazide, para toluenesulfonamide, and sodium benzenesulfonate. In addition, it offers pharma intermediate products, which includes Celecoxib, Ciprofloxacin, Clopidogrel, Diclofenac, Ketoconazole, Nimesulide, Raloxifene, Tinidazole, and Zolpidem. Further, the company develops drugs for antifungal, cardiovascular, and antidiabetic therapeutic areas, as well as non-steroidal anti-inflammatory drugs. The company was incorporated in 1984 and is headquartered in Mumbai, India.",31151888384.0,NS
AARTIPHARM,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,"Aarti Pharmalabs Limited, together with its subsidiaries, manufactures and sells active pharmaceutical ingredients, pharmaceutical intermediates, and xanthine derivatives in India and internationally. The company offers active pharmaceutical ingredients for various therapeutic areas, such as cardiovascular, anti-asthmatic, anti-cancer, anti-coagulant, anti-diabetic, arthritis, central nervous system agent, skincare, overactive bladder, calcimimetic, decongestant, anti-thalassaemic, analgesic, and ophthalmologic medications. It also provides contract development and manufacturing services for drug substance projects. In addition, the company offers intermediates; xanthine derivatives, including caffeine, theophylline anhydrous, aminophylline, etophylline, and theophylline; and acid and allied products, including sulphuric acid, sulphur trioxide, oil, dimethyl sulphate, diethyl sulphate, and sodium vinyl sulfonate. The company was formerly known as Aarti Organics Limited. Aarti Pharmalabs Limited was incorporated in 2019 and is headquartered in Mumbai, India.",59565821952.0,NS
AFSL,Financial Services,Financial Services,Finance,Holding Company,"Abans Financial Services Limited, together with its subsidiaries, operates as a non-banking finance company in India and internationally. It operates through Fee Based Investment Services, Principal Investment & Treasury, and Lending & Credit Solutions segments. The company provides wealth and asset management services, including financial asset distribution, broking, lending, credit, investment solutions, asset and portfolio management, treasury operations, and allied activities. It also engages in trading of commodities, securities, and derivative contracts, as well as offers lending services to private traders, and other small and medium businesses involved in the commodities trading market. In addition, the company provides client-based institutional trading, wealth management and private client brokerage services in the areas of equity, commodities, and foreign exchange; invests in physical and exchange traded commodities, and other instruments; and offers warehousing services to commodity market participants. Additionally, it is involved in the trading of derivatives, agricultural products, base metals, and other precious metals; and provision of secured and unsecured loans. The company was formerly known as Abans Holdings Limited and changed its name to Abans Financial Services Limited in January 2025. Abans Financial Services Limited was incorporated in 2009 and is headquartered in Mumbai, India.",10236951552.0,NS
